,score,hatImpfzentrum
Aarberg,0.30842558425584254,False
Aarwangen,0.16877348821318755,False
Adelboden,0.7329047340736411,False
Aefligen,0.0,False
Aegerten,0.0007496251874062968,False
Aeschi bei Spiez,0.000819672131147541,False
Affoltern im Emmental,0.0,False
Alchenstorf,0.0,False
Allmendingen,0.0,False
Amsoldingen,0.0,False
Arch,0.017456359102244388,False
Arni (BE),0.0,False
Attiswil,0.0149812734082397,False
Bannwil,0.0,False
Bargen (BE),0.0,False
Beatenberg,0.24280575539568344,False
Bellmund,0.0,False
Belp,0.07212651067112368,False
Bern,0.8191313908741067,True
Bettenhausen,0.0,False
Biel/Bienne,0.1913278870788418,True
Biglen,0.05155482815057283,False
Bleienbach,0.0,False
Blumenstein,0.19047619047619047,False
Bolligen,0.0,False
Boltigen,0.32006920415224915,False
Bowil,0.0,False
Bremgarten bei Bern,0.032268473701193935,False
Brienz (BE),0.11732124874118832,False
Brügg,0.08228571428571428,False
Brüttelen,0.12826603325415678,False
Buchholterberg,0.17341772151898735,False
Burgdorf,0.5559000708717222,True
Burgistein,0.0,False
Bäriswil,0.0,False
Bätterkinden,0.0,False
Bönigen,0.0,False
Büetigen,0.0,False
Büren an der Aare,0.17381489841986456,False
Corgémont,0.36162005785920925,False
Cortébert,0.03523035230352303,False
Court,0.0,False
Courtelary,0.1039119804400978,False
Diemtigen,0.0,False
Diessbach bei Büren,0.0,False
Dotzigen,0.07061266874350987,False
Därstetten,0.0,False
Dürrenroth,0.13298791018998274,False
Eggiwil,0.11469838572642312,False
Eriswil,0.021374045801526718,False
Erlach,0.0,False
Erlenbach im Simmental,0.16852540272614622,False
Ersigen,0.0,False
Evilard,0.028794241151769647,False
Fahrni,0.0,False
Ferenbalm,0.0,False
Finsterhennen,0.0,False
Forst-Längenbühl,0.0,False
Fraubrunnen,0.03615177771138333,False
Frauenkappelen,0.06986899563318777,False
Frutigen,0.2591708917387414,False
Gals,0.0,False
Gampelen,0.14664310954063603,False
Gerzensee,0.0,False
Gondiswil,0.0,False
Grindelwald,0.15216477511559479,False
Grossaffoltern,0.0,False
Grosshöchstetten,0.05198996055934026,False
Gsteig,0.0,False
Guggisberg,0.0,False
Gurzelen,0.0,False
Habkern,0.0,False
Hasle bei Burgdorf,0.10279329608938548,False
Hasliberg,0.012658227848101266,False
Heiligenschwendi,0.08354430379746836,False
Heimberg,0.06453291699193339,False
Heimenhausen,0.0013404825737265416,False
Heimiswil,0.03919491525423729,False
Herbligen,0.0,False
Herzogenbuchsee,0.12684808227983715,False
Hilterfingen,0.057383040935672515,False
Hindelbank,0.08319280494659921,False
Hofstetten bei Brienz,0.0,False
Homberg,0.0,False
Huttwil,0.2325088339222615,False
Inkwil,0.0,False
Innertkirchen,0.0,False
Ins,0.052930883639545054,False
Interlaken,0.6089399744572158,True
Ipsach,0.0,False
Ittigen,0.05991957104557641,False
Jegenstorf,0.07416502946954813,False
Jens,0.0,False
Kallnach,0.03907380607814761,False
Kandergrund,0.0,False
Kandersteg,0.5774499473129611,False
Kappelen,0.0,False
Kaufdorf,0.0,False
Kehrsatz,0.005259467040673212,False
Kernenried,0.0,False
Kiesen,0.0,False
Kirchberg (BE),0.03163138231631382,False
Kirchdorf (BE),0.0,False
Kirchlindach,0.0012831479897348161,False
Kleine Gemeinde,0.0,False
Konolfingen,0.1226775956284153,False
Koppigen,0.08026315789473684,False
Krattigen,0.21587301587301588,False
Krauchthal,0.0,False
Köniz,0.025683570119948842,False
La Ferrière,0.0,False
La Neuveville,0.30061037639877924,False
Landiswil,0.0,False
Langenthal,0.8709039841880787,True
Langnau im Emmental,0.16630883567299753,True
Lauenen,0.0,False
Laupen,0.1340018231540565,False
Lauperswil,0.0,False
Lauterbrunnen,0.4617467840216655,False
Leissigen,0.1717877094972067,False
Lengnau (BE),0.13076923076923078,False
Lenk,0.30551523947750364,False
Leuzigen,0.0,False
Ligerz,0.0,False
Linden,0.0,False
Lotzwil,0.014687882496940025,False
Lyss,0.31485849056603776,False
Lyssach,0.0,False
Lüscherz,0.0,False
Lützelflüh,0.0660377358490566,False
Madiswil,0.0,False
Matten bei Interlaken,0.0,False
Mattstetten,0.0,False
Meikirch,0.04845548152634767,False
Meinisberg,0.0,False
Meiringen,0.19151630262741373,False
Melchnau,0.153088630259624,False
Mirchel,0.0,False
Moosseedorf,0.05111940298507463,False
Moutier,0.30390334572490707,True
Muri bei Bern,0.08453821186190617,False
Mörigen,0.0,False
Mühleberg,0.06344253770150807,False
Münchenbuchsee,0.0637233259749816,False
Münchenwiler,0.0,False
Münsingen,0.10848060464599311,False
Müntschemier,0.0,False
Neuenegg,0.13480600396488246,False
Nidau,0.05917986952469711,False
Niederbipp,0.05555555555555555,False
Niederhünigen,0.0,False
