Gemeinde, Einw
"Aarberg", 4626
"Aarwangen", 4638
"Adelboden", 3343
"Aefligen", 1103
"Aegerten", 2210
"Aeschi bei Spiez", 2256
"Affoltern im Emmental", 1125
"Alchenstorf", 584
"Allmendingen", 579
"Amsoldingen", 800
"Arch", 1700
"Arni (BE)", 936
"Attiswil", 1532
"Auswil", 448
"Bannwil", 676
"Bargen (BE)", 1051
"Bäriswil", 1071
"Bätterkinden", 3288
"Beatenberg", 1199
"Bellmund", 1723
"Belp", 11603
"Belprahon", 279
"Berken", 44
"Bern", 134794
"Bettenhausen", 642
"Biel / Bienne", 55206
"Biglen", 1847
"Bleienbach", 734
"Blumenstein", 1236
"Bolligen", 6308
"Boltigen", 1249
"Bönigen", 2569
"Bowil", 1354
"Bremgarten bei Bern", 4340
"Brenzikofen", 481
"Brienz", 3158
"Brienzwiler", 481
"Brügg", 4371
"Brüttelen", 582
"Buchholterberg", 1519
"Büetigen", 894
"Bühl", 482
"Büren an der Aare", 3622
"Burgdorf", 16583
"Burgistein", 1093
"Busswil bei Melchnau", 177
"Champoz", 174
"Clavaleyres", 51
"Corcelles (BE)", 201
"Corgémont", 1774
"Cormoret", 494
"Cortébert", 696
"Court", 1417
"Courtelary", 1405
"Crémines", 488
"Därligen", 415
"Därstetten", 862
"Deisswil bei Münchenbuchsee", 86
"Diemerswil", 199
"Diemtigen", 2253
"Diessbach bei Büren", 991
"Dotzigen", 1490
"Dürrenroth", 1052
"Eggiwil", 2486
"Elay / Seehof", 56
"Epsach", 326
"Eriswil", 1358
"Eriz", 485
"Erlach", 1386
"Erlenbach im Simmental", 1724
"Ersigen", 2063
"Eschert", 377
"Fahrni", 811
"Farnern", 227
"Ferenbalm", 1214
"Finsterhennen", 562
"Forst-Längenbühl", 769
"Fraubrunnen", 5203
"Frauenkappelen", 1320
"Freimettigen", 461
"Frutigen", 6967
"Gals", 828
"Gampelen", 950
"Gerzensee", 1237
"Gondiswil", 711
"Graben", 336
"Grandval", 388
"Grindelwald", 3800
"Grossaffoltern", 3033
"Grosshöchstetten", 4143
"Gsteig b. Gstaad", 981
"Gsteigwiler", 402
"Guggisberg", 1490
"Gündlischwand", 351
"Gurbrü", 254
"Gurzelen", 884
"Guttannen", 245
"Habkern", 634
"Hagneck", 420
"Hasle bei Burgdorf", 3302
"Hasliberg", 1158
"Häutligen", 256
"Heiligenschwendi", 725
"Heimberg", 6968
"Heimenhausen", 1136
"Heimiswil", 1632
"Hellsau", 214
"Herbligen", 593
"Hermrigen", 307
"Herzogenbuchsee", 7293
"Hilterfingen", 4094
"Hindelbank", 2638
"Höchstetten", 279
"Hofstetten bei Brienz", 531
"Homberg", 510
"Horrenbach-Buchen", 226
"Huttwil", 5009
"Iffwil", 428
"Inkwil", 628
"Innertkirchen", 1072
"Ins", 3560
"Interlaken", 5719
"Ipsach", 3913
"Iseltwald", 415
"Ittigen", 11430
"Jaberg", 306
"Jegenstorf", 5738
"Jens", 633
"Kallnach", 2220
"Kandergrund", 807
"Kandersteg", 1288
"Kappelen", 1420
"Kaufdorf", 1073
"Kehrsatz", 4380
"Kernenried", 547
"Kiesen", 1012
"Kirchberg (BE)", 5919
"Kirchdorf (BE)", 1796
"Kirchlindach", 3200
"Köniz", 42388
"Konolfingen", 5451
"Koppigen", 2104
"Krattigen", 1130
"Krauchthal", 2384
"Kriechenwil", 441
"La Ferrière", 530
"La Neuveville", 3780
"La Scheulte / Schelten", 39
"Landiswil", 619
"Langenthal", 15959
"Langnau im Emmental", 9262
"Lauenen", 828
"Laupen", 3230
"Lauperswil", 2663
"Lauterbrunnen", 2301
"Leissigen", 1171
"Lengnau (BE)", 5316
"Lenk", 2314
"Leubringen / Evilard", 2672
"Leuzigen", 1295
"Ligerz", 545
"Linden", 1304
"Lotzwil", 2663
"Loveresse", 349
"Lüscherz", 559
"Lütschental", 214
"Lützelflüh", 4211
"Lyss", 15763
"Lyssach", 1466
"Madiswil", 3284
"Matten bei Interlaken", 4060
"Mattstetten", 580
"Meienried", 53
"Meikirch", 2526
"Meinisberg", 1326
"Meiringen", 4666
"Melchnau", 1488
"Merzligen", 389
"Mirchel", 616
"Mont-Tramelan", 111
"Moosseedorf", 4092
"Mörigen", 875
"Moutier", 7348
"Mühleberg", 2997
"Münchenbuchsee", 10233
"Münchenwiler", 518
"Münsingen", 12966
"Müntschemier", 1561
"Muri-Guemligen", 13182
"Neuenegg", 5601
"Nidau", 6943
"Niederbipp", 5097
"Niederhünigen", 657
"Niedermuhlern", 512
"Niederönz", 1691
"Niederried b. Interlaken", 368
"Nods", 788
"Oberbalm", 866
"Oberbipp", 1753
"Oberburg", 2937
"Oberdiessbach", 3552
"Oberhofen am Thunersee", 2445
"Oberhünigen", 316
"Oberlangenegg", 483
"Oberried am Brienzersee", 461
"Oberthal", 721
"Oberwil bei Büren", 887
"Oberwil i.S.", 804
"Ochlenberg", 563
"Oeschenbach", 220
"Oppligen", 638
"Orpund", 3052
"Orvin", 1198
"Ostermundigen", 17758
"Perrefitte", 481
"Péry-La Heutte", 1908
"Petit-Val", 392
"Pieterlen", 4784
"Plateau de Diesse", 2056
"Pohlern", 232
"Port", 3801
"Radelfingen", 1272
"Rapperswil (BE)", 2592
"Rebévelier", 41
"Reconvilier", 2380
"Reichenbach im Kandertal", 3638
"Reisiswil", 173
"Renan (BE)", 934
"Reutigen", 1023
"Riggisberg", 3034
"Ringgenberg (BE)", 2588
"Roches (BE)", 190
"Roggwil (BE)", 4176
"Rohrbach", 1520
"Rohrbachgraben", 390
"Romont (BE)", 202
"Röthenbach im Emmental", 1169
"Rubigen", 2892
"Rüderswil", 2373
"Rüdtligen-Alchenflüh", 2444
"Rüeggisberg", 1765
"Rüegsau", 3265
"Rumendingen", 81
"Rumisberg", 491
"Rüschegg", 1697
"Rüti bei Büren", 867
"Rüti bei Lyssach", 172
"Rütschelen", 564
"Saanen", 6836
"Safnern", 1951
"Saicourt", 645
"Saint-Imier", 5156
"Sauge", 827
"Saules (BE)", 147
"Saxeten", 92
"Schangnau", 918
"Schattenhalb", 552
"Scheuren", 475
"Schüpfen", 3792
"Schwadernau", 692
"Schwanden bei Brienz", 625
"Schwarzenburg", 6812
"Schwarzhäusern", 533
"Seeberg", 1559
"Seedorf (BE)", 3134
"Seftigen", 2147
"Signau", 2594
"Sigriswil", 4847
"Siselen", 612
"Sonceboz-Sombeval", 1954
"Sonvilier", 1223
"Sorvilier", 283
"Spiez", 12926
"St. Stephan", 1310
"Steffisburg", 15991
"Stettlen", 3162
"Stocken-Höfen", 1041
"Studen (BE)", 3372
"Sumiswald", 5044
"Sutz-Lattrigen", 1399
"Täuffelen", 2971
"Tavannes", 3485
"Teuffenthal (BE)", 160
"Thierachern", 2514
"Thörigen", 1156
"Thun", 43476
"Thunstetten", 3458
"Thurnen", 2035
"Toffen", 2547
"Trachselwald", 954
"Tramelan", 4607
"Treiten", 429
"Trub", 1314
"Trubschachen", 1465
"Tschugg", 470
"Twann-Tüscherz", 1171
"Uebeschi", 718
"Uetendorf", 5830
"Unterlangenegg", 1018
"Unterseen", 5760
"Ursenbach", 881
"Urtenen-Schönbühl", 6367
"Uttigen", 2153
"Utzenstorf", 4430
"Valbirse", 3971
"Vechigen", 5512
"Villeret", 941
"Vinelz", 878
"Wachseldorn", 229
"Wald (BE)", 1160
"Walkringen", 1755
"Walliswil bei Niederbipp", 227
"Walliswil bei Wangen", 604
"Walperswil", 1039
"Walterswil (BE)", 540
"Wangen an der Aare", 2377
"Wangenried", 407
"Wattenwil", 3060
"Wengi", 630
"Wichtrach", 4377
"Wiedlisbach", 2382
"Wiggiswil", 103
"Wilderswil", 2638
"Wiler bei Utzenstorf", 995
"Wileroltigen", 361
"Willadingen", 199
"Wimmis", 2609
"Wohlen bei Bern", 9240
"Worb", 11621
"Worben", 2404
"Wynau", 1624
"Wynigen", 2077
"Wyssachen", 1103
"Zäziwil", 1601
"Zielebach", 330
"Zollikofen", 10640
"Zuzwil (BE)", 563
"Zweisimmen", 3032
"Zwieselberg", 322
