bfs_nummer,gemeinde_name,bevoelkerung_einwohner,bevoelkerung_veraenderung,bevoelkerung_bevoelkerungsdichte,bevoelkerung_auslaender,altersverteilung_0_19,altersverteilung_20_64,altersverteilung_65,bevoelkerungsbewegung_heiratsziffer,bevoelkerungsbewegung_scheidungsziffer,bevoelkerungsbewegung_geburtziffer,bevoelkerungsbewegung_sterbeziffer,haushalt_anzahl_privathaushalte,haushalt_haushaltsgroesse_pro_person,flaeche_gesamt,flaeche_siedlung,flaeche_veraenderung,flaeche_landwirtschaft,flaeche_veraenderung,flaeche_wald,flaeche_unproduktiv,wirtschaft_beschaeftigte,wirtschaft_beschaeftigte_1_sektor,wirtschaft_beschaeftigte_2_sektor,wirtschaft_beschaeftigte_3_sektor,wirtschaft_arbeitsstaetten,wirtschaft_arbeitsstaetten_1_sektor,wirtschaft_arbeitsstaetten_2_sektor,wirtschaft_arbeitsstaetten_3_sektor,bau_leerwohnungsziffer,bau_neu_gebaute_wohnungen,sozialhilfequote,wahl_fdp,wahl_cvp,wahl_sp,wahl_svp,wahl_evp_csp,wahl_glp,wahl_bdp,wahl_pda_sol,wahl_gps,wahl_rechtsparteien
301,Aarberg,4632,13.3,584,12.9,19.6,59.0,21.3,4.8,1.9,9.9,8.2,2146,2.1,7.9,23.4,16,44.2,-25,29.7,2.6,2876,119,799,1958,352,18,60,274,0.65,3.5,2.7,9.919585965,0.993349843,14.82512034,33.66815994,3.817579788,9.844458666,12.19009989,0.303291689,10.25626756,1.811402655
302,Bargen (BE),1025,4.6,130,9.3,21.1,59.7,19.2,3.0,1.0,10.9,6.9,418,2.4,7.9,7.1,1,70.6,-2,19.0,3.3,420,69,180,171,71,23,9,39,3.25,2.0,,3.455095393,0.697999069,12.78501629,40.30944625,4.769660307,6.235458353,14.00651466,0.116333178,9.806886924,4.234527687
303,Grossaffoltern,3031,9.0,201,6.0,19.5,60.4,20.1,4.3,0.7,6.0,9.6,1316,2.3,15.1,10.8,45,62.2,-52,26.2,0.8,703,177,240,286,195,55,39,101,1.37,1.0,1.5,7.896241246,1.611404888,13.70230099,32.19594112,3.862369587,9.282549664,13.95598113,0.435901101,11.71930828,1.243390024
304,Kallnach,2204,3.9,123,10.1,18.1,60.1,21.9,4.5,1.4,9.5,8.6,958,2.3,18.0,7.9,21,66.4,-29,19.8,5.8,1064,227,237,600,168,58,29,81,0.46,2.3,1.7,5.994442239,1.100209834,10.69585436,41.32592299,2.500992457,7.287472353,13.48040606,0.181477911,9.045539613,4.236374979
305,Kappelen,1414,12.5,129,5.7,21.5,62.0,16.5,4.9,1.4,11.3,6.4,618,2.3,11.0,10.8,25,74.2,-26,14.2,0.8,589,103,307,179,119,30,24,65,1.93,13.5,1.0,5.925121177,0.376065519,11.95052649,40.29750961,2.983453117,7.25388601,17.48286813,0.54320575,7.655022564,2.390105298
306,Lyss,15525,13.1,1047,19.0,19.1,62.2,18.7,4.6,2.0,10.5,7.4,7080,2.2,14.8,32.3,105,34.6,-107,32.5,0.5,8495,89,3165,5241,930,17,172,741,2.88,12.4,4.7,12.06776274,1.191598477,18.10305818,24.02239903,6.382216524,9.769410611,11.73875335,0.708925676,10.6508541,2.063614767
307,Meikirch,2473,5.5,242,7.1,18.0,56.2,25.8,3.6,1.2,8.9,8.1,1088,2.2,10.2,9.3,7,64.4,-7,26.3,0.1,507,74,107,326,156,28,21,107,1.25,1.2,0.9,10.02689618,1.735700197,17.3713466,27.66003228,5.551371705,9.926483773,8.549399319,0.272547965,13.73139681,1.491841492
309,Radelfingen,1287,9.2,87,5.7,19.2,63.2,17.6,5.4,3.9,10.9,8.6,576,2.2,14.7,6.7,10,57.7,-6,31.4,4.1,264,107,33,124,105,41,14,50,1.86,3.9,1.7,5.134920635,1.380952381,9.087301587,41.54761905,3.365079365,9.587301587,12.35714286,0.531746032,11.27777778,1.801587302
310,Rapperswil (BE),2560,1.2,113,5.6,19.3,62.1,18.6,3.9,1.9,8.5,10.8,1104,2.3,22.6,8.1,20,64.4,-18,27.1,0.4,864,217,322,325,245,79,41,125,0.79,0.4,1.4,6.970521144,1.096683629,11.31338831,42.16967889,3.171609054,7.834707844,12.18196175,0.438673452,9.391998596,2.114406036
311,Schüpfen,3773,10.7,190,7.6,19.1,62.1,18.8,3.7,2.4,8.8,5.9,1702,2.2,19.8,10.8,32,55.8,-39,33.0,0.4,1345,150,254,941,270,55,37,178,3.23,6.1,2.6,6.039839712,0.949532493,16.78088158,32.43510076,3.165108311,8.839073117,13.52575643,0.92920611,12.80271793,1.489633544
